,timestamp,equipment_id,component_type,location,event_type
56,2020-12-13 09-26-31,EQ_5,Composant_5,Opéra,Warning
57,2020-06-17 01-40-29,EQ_4,Composant_4,Montparnasse,Failure
58,2020-03-02 00-27-05,EQ_1,Composant_3,Saint-Lazare,Maintenance
59,2020-12-26 15-08-03,EQ_1,Composant_1,Montparnasse,Maintenance
60,2020-03-18 21-02-50,EQ_3,Composant_1,Montparnasse,Maintenance
61,2020-03-05 13-34-46,EQ_3,Composant_2,Opéra,Warning
62,2020-01-14 06-12-20,EQ_5,Composant_2,Saint-Lazare,Failure
63,2020-02-05 23-12-09,EQ_4,Composant_2,Opéra,Failure
64,2020-12-09 19-18-39,EQ_4,Composant_2,Montparnasse,Failure
65,2020-01-15 16-15-18,EQ_5,Composant_3,Saint-Lazare,Warning
66,2020-01-03 06-44-13,EQ_3,Composant_3,Gare de Lyon,Failure
67,2020-10-17 20-37-42,EQ_2,Composant_5,Montparnasse,Warning
68,2020-09-09 10-33-19,EQ_5,Composant_1,Saint-Lazare,Warning
69,2020-10-14 21-41-06,EQ_2,Composant_1,Montparnasse,Failure
70,2020-07-21 00-22-12,EQ_1,Composant_5,Gare de Lyon,Warning
71,2020-09-11 22-39-12,EQ_1,Composant_4,Saint-Lazare,Failure
72,2020-09-21 15-41-14,EQ_3,Composant_2,Saint-Lazare,Warning
73,2020-04-05 15-04-52,EQ_3,Composant_2,Gare de Lyon,Maintenance
74,2020-09-06 20-20-12,EQ_4,Composant_4,Saint-Lazare,Warning
75,2020-03-17 14-38-58,EQ_3,Composant_5,Saint-Lazare,Failure
76,2020-06-13 22-26-09,EQ_2,Composant_5,Gare de Lyon,Maintenance
77,2020-05-07 11-55-30,EQ_4,Composant_1,Saint-Lazare,Failure
78,2020-03-28 14-32-28,EQ_1,Composant_5,Saint-Lazare,Maintenance
79,2020-10-12 06-17-00,EQ_2,Composant_4,Saint-Lazare,Warning
80,2020-04-05 17-21-31,EQ_4,Composant_5,Saint-Lazare,Maintenance
81,2020-11-29 14-00-42,EQ_1,Composant_5,Saint-Lazare,Failure
82,2020-01-24 10-25-47,EQ_5,Composant_2,Saint-Lazare,Maintenance
83,2020-04-26 00-07-18,EQ_5,Composant_5,Montparnasse,Warning
84,2020-12-25 10-34-13,EQ_5,Composant_4,Gare de Lyon,Warning
85,2020-07-30 00-34-39,EQ_3,Composant_5,Opéra,Failure
86,2020-07-21 15-55-39,EQ_2,Composant_3,Montparnasse,Failure
87,2020-03-16 03-45-52,EQ_2,Composant_2,Gare de Lyon,Maintenance
88,2020-10-23 00-39-05,EQ_2,Composant_2,Opéra,Failure
89,2020-11-15 21-20-09,EQ_2,Composant_2,Montparnasse,Failure
90,2020-06-23 20-26-02,EQ_2,Composant_4,Montparnasse,Warning
91,2020-07-10 01-37-57,EQ_4,Composant_2,Opéra,Warning
92,2020-10-25 13-02-34,EQ_4,Composant_5,Montparnasse,Failure
93,2020-03-25 06-20-10,EQ_1,Composant_4,Gare de Lyon,Warning
94,2020-01-24 09-07-56,EQ_3,Composant_4,Opéra,Failure
95,2020-06-22 23-03-54,EQ_4,Composant_2,Montparnasse,Warning
96,2020-12-20 05-34-37,EQ_3,Composant_2,Saint-Lazare,Failure
97,2020-09-26 13-58-04,EQ_4,Composant_1,Saint-Lazare,Failure
98,2020-08-04 02-53-58,EQ_1,Composant_4,Opéra,Maintenance
99,2020-09-25 08-55-38,EQ_4,Composant_2,Gare de Lyon,Maintenance
100,2020-05-26 03-47-53,EQ_1,Composant_1,Montparnasse,Warning
101,2020-01-07 23-36-25,EQ_5,Composant_3,Saint-Lazare,Warning
102,2020-04-20 08-25-06,EQ_3,Composant_5,Gare de Lyon,Failure
103,2020-09-06 11-56-18,EQ_1,Composant_4,Gare de Lyon,Failure
104,2020-11-01 03-31-38,EQ_5,Composant_5,Montparnasse,Maintenance
105,2020-09-27 15-13-36,EQ_5,Composant_4,Saint-Lazare,Failure
106,2020-08-17 23-15-50,EQ_2,Composant_3,Gare de Lyon,Maintenance
107,2020-05-20 17-17-51,EQ_2,Composant_5,Opéra,Warning
108,2020-09-16 17-55-14,EQ_4,Composant_2,Montparnasse,Warning
109,2020-12-07 22-56-52,EQ_1,Composant_3,Gare de Lyon,Failure
110,2020-01-12 03-20-43,EQ_1,Composant_3,Montparnasse,Failure
111,2020-12-02 17-09-17,EQ_4,Composant_5,Opéra,Maintenance
112,2020-03-26 04-22-49,EQ_1,Composant_4,Montparnasse,Failure
113,2020-01-26 05-54-25,EQ_5,Composant_4,Opéra,Maintenance
114,2020-12-29 04-50-51,EQ_3,Composant_4,Gare de Lyon,Failure
115,2020-03-10 12-55-48,EQ_2,Composant_3,Montparnasse,Failure
116,2020-01-26 01-09-06,EQ_1,Composant_3,Montparnasse,Warning
117,2020-10-17 15-32-52,EQ_2,Composant_1,Montparnasse,Warning
118,2020-12-26 08-59-53,EQ_3,Composant_4,Montparnasse,Maintenance
119,2020-04-16 21-01-06,EQ_2,Composant_1,Saint-Lazare,Failure
120,2020-01-02 22-59-29,EQ_4,Composant_1,Opéra,Failure
121,2020-10-20 00-35-31,EQ_3,Composant_1,Opéra,Maintenance
122,2020-01-21 11-10-27,EQ_5,Composant_2,Saint-Lazare,Failure
123,2020-12-29 07-52-49,EQ_3,Composant_5,Gare de Lyon,Failure
124,2020-05-13 03-56-52,EQ_1,Composant_1,Opéra,Warning
125,2020-05-10 12-23-44,EQ_5,Composant_3,Saint-Lazare,Maintenance
126,2020-08-16 22-48-40,EQ_4,Composant_2,Saint-Lazare,Failure
127,2020-08-25 19-46-17,EQ_3,Composant_1,Opéra,Failure
128,2020-05-24 08-03-15,EQ_3,Composant_3,Montparnasse,Failure
129,2020-03-03 10-19-34,EQ_5,Composant_5,Montparnasse,Warning
130,2020-12-30 07-29-10,EQ_5,Composant_2,Montparnasse,Warning
131,2020-11-07 07-28-02,EQ_5,Composant_1,Opéra,Maintenance
132,2020-12-27 15-21-52,EQ_3,Composant_3,Opéra,Warning
133,2020-03-08 08-22-55,EQ_4,Composant_5,Saint-Lazare,Failure
134,2020-06-28 05-43-47,EQ_4,Composant_1,Saint-Lazare,Maintenance
135,2020-09-13 11-13-41,EQ_1,Composant_5,Montparnasse,Warning
136,2020-02-27 04-04-01,EQ_5,Composant_3,Opéra,Warning
137,2020-02-15 06-14-11,EQ_1,Composant_5,Montparnasse,Maintenance
138,2020-04-27 20-42-42,EQ_4,Composant_5,Opéra,Maintenance
139,2020-01-15 12-51-35,EQ_3,Composant_1,Saint-Lazare,Failure
140,2020-03-07 02-03-47,EQ_1,Composant_5,Saint-Lazare,Failure
141,2020-10-30 04-42-54,EQ_1,Composant_4,Montparnasse,Failure
142,2020-09-28 11-35-15,EQ_2,Composant_5,Gare de Lyon,Failure
143,2020-07-19 12-08-11,EQ_4,Composant_5,Saint-Lazare,Maintenance
144,2020-11-17 09-21-30,EQ_5,Composant_3,Gare de Lyon,Warning
145,2020-03-13 21-27-50,EQ_1,Composant_3,Opéra,Maintenance
146,2020-08-25 15-18-44,EQ_1,Composant_4,Opéra,Failure
147,2020-12-29 18-34-38,EQ_2,Composant_4,Saint-Lazare,Warning
148,2020-02-22 04-32-28,EQ_5,Composant_4,Saint-Lazare,Warning
149,2020-09-25 07-47-17,EQ_3,Composant_5,Gare de Lyon,Maintenance
150,2020-03-10 17-09-43,EQ_5,Composant_1,Saint-Lazare,Failure
151,2020-11-29 17-33-14,EQ_3,Composant_5,Saint-Lazare,Failure
152,2020-05-08 10-50-40,EQ_4,Composant_3,Saint-Lazare,Maintenance
153,2020-09-04 04-15-57,EQ_3,Composant_4,Opéra,Maintenance
154,2020-05-07 04-38-07,EQ_5,Composant_3,Gare de Lyon,Failure
155,2020-12-20 15-20-45,EQ_4,Composant_3,Saint-Lazare,Warning
156,2020-03-05 20-54-29,EQ_1,Composant_3,Opéra,Warning
157,2020-05-16 20-20-35,EQ_3,Composant_3,Opéra,Failure
158,2020-04-28 00-58-58,EQ_3,Composant_4,Saint-Lazare,Maintenance
159,2020-09-02 05-57-21,EQ_1,Composant_4,Gare de Lyon,Failure
160,2020-04-02 10-49-07,EQ_2,Composant_5,Montparnasse,Maintenance
161,2020-03-26 09-13-37,EQ_2,Composant_3,Montparnasse,Warning
162,2020-05-31 08-24-29,EQ_3,Composant_2,Saint-Lazare,Warning
163,2020-01-06 16-29-17,EQ_4,Composant_2,Saint-Lazare,Failure
164,2020-07-18 03-27-42,EQ_2,Composant_2,Opéra,Maintenance
165,2020-09-17 16-54-04,EQ_5,Composant_3,Montparnasse,Maintenance
166,2020-08-28 07-16-04,EQ_1,Composant_3,Saint-Lazare,Maintenance
167,2020-05-06 20-24-23,EQ_3,Composant_3,Saint-Lazare,Warning
168,2020-01-05 22-01-44,EQ_4,Composant_1,Saint-Lazare,Failure
169,2020-07-12 12-58-22,EQ_5,Composant_1,Gare de Lyon,Failure
170,2020-07-18 08-24-48,EQ_1,Composant_3,Opéra,Warning
171,2020-08-04 18-15-21,EQ_3,Composant_2,Gare de Lyon,Failure
172,2020-08-01 15-44-15,EQ_5,Composant_3,Gare de Lyon,Failure
173,2020-02-24 15-54-40,EQ_5,Composant_4,Saint-Lazare,Warning
174,2020-11-15 20-47-40,EQ_1,Composant_5,Saint-Lazare,Failure
175,2020-08-27 06-44-58,EQ_4,Composant_1,Montparnasse,Maintenance
176,2020-03-07 01-52-00,EQ_4,Composant_3,Montparnasse,Maintenance
177,2020-03-21 21-24-57,EQ_3,Composant_1,Gare de Lyon,Warning
178,2020-06-20 12-53-12,EQ_4,Composant_1,Saint-Lazare,Failure
179,2020-11-15 02-12-36,EQ_3,Composant_2,Gare de Lyon,Failure
180,2020-03-04 04-55-57,EQ_5,Composant_1,Montparnasse,Maintenance
181,2020-04-11 16-52-04,EQ_2,Composant_5,Gare de Lyon,Failure
182,2020-03-03 23-36-05,EQ_4,Composant_2,Gare de Lyon,Maintenance
183,2020-04-16 09-35-03,EQ_2,Composant_2,Gare de Lyon,Maintenance
184,2020-10-21 20-23-28,EQ_1,Composant_3,Montparnasse,Failure
185,2020-10-01 16-41-22,EQ_2,Composant_1,Montparnasse,Warning
186,2020-04-07 11-47-42,EQ_3,Composant_3,Montparnasse,Failure
187,2020-08-18 03-02-50,EQ_5,Composant_3,Gare de Lyon,Warning
188,2020-05-19 22-50-47,EQ_2,Composant_1,Gare de Lyon,Warning
189,2020-05-13 18-01-01,EQ_2,Composant_2,Opéra,Maintenance
190,2020-02-27 16-12-24,EQ_1,Composant_3,Saint-Lazare,Maintenance
191,2020-05-17 21-15-29,EQ_4,Composant_3,Saint-Lazare,Maintenance
192,2020-01-11 16-56-59,EQ_4,Composant_1,Gare de Lyon,Failure
193,2020-08-05 19-03-09,EQ_5,Composant_4,Opéra,Maintenance
194,2020-02-22 11-11-51,EQ_1,Composant_4,Opéra,Warning
195,2020-05-19 11-05-28,EQ_2,Composant_1,Opéra,Maintenance
196,2020-03-14 16-09-10,EQ_1,Composant_3,Montparnasse,Maintenance
197,2020-08-25 17-11-49,EQ_3,Composant_2,Opéra,Warning
198,2020-02-26 08-54-53,EQ_2,Composant_5,Opéra,Warning
199,2020-01-29 04-09-51,EQ_5,Composant_5,Gare de Lyon,Maintenance
200,2020-05-04 06-46-17,EQ_1,Composant_4,Gare de Lyon,Warning
201,2020-10-07 20-57-29,EQ_5,Composant_4,Saint-Lazare,Failure
202,2020-07-23 12-34-46,EQ_3,Composant_1,Saint-Lazare,Maintenance
203,2020-10-14 11-02-37,EQ_4,Composant_1,Opéra,Maintenance
204,2020-04-12 03-55-20,EQ_2,Composant_2,Opéra,Warning
205,2020-07-06 15-18-26,EQ_1,Composant_4,Montparnasse,Maintenance
206,2020-09-24 04-30-01,EQ_5,Composant_2,Gare de Lyon,Maintenance
207,2020-05-03 14-11-29,EQ_3,Composant_3,Saint-Lazare,Maintenance
208,2020-04-05 03-12-10,EQ_1,Composant_4,Montparnasse,Maintenance
209,2020-04-05 18-03-50,EQ_4,Composant_4,Saint-Lazare,Maintenance
210,2020-11-11 05-50-04,EQ_4,Composant_5,Saint-Lazare,Maintenance
211,2020-08-28 16-27-01,EQ_3,Composant_4,Opéra,Failure
212,2020-04-16 01-01-00,EQ_4,Composant_2,Gare de Lyon,Maintenance
213,2020-04-06 11-51-32,EQ_2,Composant_3,Gare de Lyon,Warning
214,2020-04-21 21-14-42,EQ_2,Composant_5,Montparnasse,Failure
215,2020-11-29 19-31-04,EQ_4,Composant_4,Opéra,Maintenance
216,2020-12-25 19-07-40,EQ_2,Composant_1,Saint-Lazare,Warning
217,2020-04-07 01-16-32,EQ_2,Composant_2,Gare de Lyon,Failure
218,2020-08-10 12-10-11,EQ_1,Composant_4,Opéra,Failure
219,2020-01-04 14-50-58,EQ_5,Composant_4,Opéra,Maintenance
220,2020-02-25 08-43-23,EQ_5,Composant_1,Montparnasse,Failure
221,2020-04-25 14-53-32,EQ_3,Composant_1,Saint-Lazare,Warning
222,2020-01-01 05-34-47,EQ_5,Composant_5,Opéra,Maintenance
223,2020-06-21 21-01-53,EQ_4,Composant_2,Opéra,Maintenance
224,2020-06-21 23-49-49,EQ_4,Composant_3,Montparnasse,Failure
225,2020-05-31 16-23-28,EQ_1,Composant_1,Gare de Lyon,Warning
226,2020-01-26 09-11-37,EQ_1,Composant_1,Saint-Lazare,Maintenance
227,2020-10-13 16-47-34,EQ_3,Composant_1,Montparnasse,Maintenance
228,2020-10-10 12-51-45,EQ_5,Composant_5,Gare de Lyon,Maintenance
229,2020-05-24 10-53-59,EQ_4,Composant_1,Montparnasse,Failure
230,2020-03-18 20-34-26,EQ_3,Composant_4,Saint-Lazare,Failure
231,2020-06-15 18-58-10,EQ_5,Composant_3,Saint-Lazare,Maintenance
232,2020-09-26 13-29-46,EQ_4,Composant_1,Saint-Lazare,Failure
233,2020-07-22 10-10-26,EQ_1,Composant_1,Montparnasse,Maintenance
234,2020-12-25 21-13-17,EQ_3,Composant_3,Saint-Lazare,Warning
235,2020-09-25 09-37-44,EQ_5,Composant_5,Montparnasse,Failure
236,2020-06-22 00-49-28,EQ_1,Composant_2,Opéra,Maintenance
237,2020-04-10 18-09-02,EQ_2,Composant_3,Opéra,Maintenance
238,2020-04-16 16-11-07,EQ_2,Composant_1,Gare de Lyon,Warning
239,2020-10-17 18-29-24,EQ_4,Composant_5,Montparnasse,Failure
240,2020-09-28 19-31-12,EQ_4,Composant_5,Gare de Lyon,Maintenance
241,2020-07-19 19-43-40,EQ_1,Composant_3,Opéra,Failure
242,2020-11-13 00-14-17,EQ_2,Composant_1,Saint-Lazare,Warning
243,2020-09-21 12-19-38,EQ_2,Composant_4,Gare de Lyon,Warning
244,2020-03-18 19-54-17,EQ_2,Composant_5,Gare de Lyon,Failure
245,2020-02-12 01-19-29,EQ_2,Composant_3,Saint-Lazare,Maintenance
246,2020-03-09 12-01-24,EQ_3,Composant_1,Montparnasse,Maintenance
247,2020-04-26 18-31-04,EQ_3,Composant_2,Montparnasse,Maintenance
248,2020-03-22 02-26-29,EQ_5,Composant_5,Montparnasse,Warning
249,2020-05-14 17-46-37,EQ_1,Composant_2,Saint-Lazare,Failure
250,2020-09-23 23-06-06,EQ_3,Composant_4,Opéra,Warning
251,2020-12-19 11-18-46,EQ_2,Composant_1,Opéra,Warning
252,2020-03-06 13-23-05,EQ_4,Composant_1,Saint-Lazare,Warning
253,2020-04-20 09-00-12,EQ_3,Composant_3,Montparnasse,Maintenance
254,2020-07-12 22-51-02,EQ_2,Composant_2,Opéra,Warning
255,2020-03-19 09-47-01,EQ_1,Composant_4,Saint-Lazare,Warning
256,2020-07-11 04-20-28,EQ_2,Composant_4,Saint-Lazare,Failure
257,2020-04-14 02-09-08,EQ_1,Composant_3,Montparnasse,Failure
258,2020-06-09 13-31-17,EQ_4,Composant_2,Saint-Lazare,Maintenance
259,2020-12-04 07-44-40,EQ_1,Composant_3,Opéra,Maintenance
260,2020-07-12 21-35-38,EQ_5,Composant_3,Montparnasse,Maintenance
261,2020-11-25 04-01-25,EQ_4,Composant_2,Opéra,Maintenance
262,2020-05-25 04-22-42,EQ_4,Composant_4,Opéra,Maintenance
263,2020-01-09 10-50-38,EQ_4,Composant_3,Saint-Lazare,Warning
264,2020-05-30 01-23-49,EQ_3,Composant_1,Montparnasse,Maintenance
265,2020-07-01 19-03-24,EQ_1,Composant_2,Saint-Lazare,Failure
266,2020-09-22 06-41-46,EQ_1,Composant_2,Saint-Lazare,Warning
267,2020-04-14 10-52-32,EQ_5,Composant_2,Montparnasse,Failure
268,2020-07-30 01-53-18,EQ_1,Composant_4,Gare de Lyon,Maintenance
269,2020-03-14 02-43-56,EQ_1,Composant_1,Opéra,Failure
270,2020-01-16 13-36-50,EQ_3,Composant_2,Montparnasse,Maintenance
271,2020-03-20 11-48-09,EQ_5,Composant_3,Saint-Lazare,Maintenance
272,2020-11-08 11-06-07,EQ_3,Composant_2,Gare de Lyon,Maintenance
273,2020-01-14 07-09-35,EQ_4,Composant_1,Gare de Lyon,Warning
274,2020-01-15 10-40-52,EQ_2,Composant_3,Opéra,Warning
275,2020-07-27 14-58-13,EQ_1,Composant_4,Saint-Lazare,Maintenance
276,2020-12-25 05-55-25,EQ_5,Composant_5,Saint-Lazare,Failure
277,2020-12-11 19-53-12,EQ_4,Composant_3,Saint-Lazare,Maintenance
278,2020-06-26 23-55-07,EQ_5,Composant_3,Gare de Lyon,Failure
279,2020-07-01 23-39-32,EQ_4,Composant_4,Saint-Lazare,Maintenance
280,2020-03-31 07-34-42,EQ_3,Composant_2,Opéra,Warning
281,2020-03-03 01-55-01,EQ_5,Composant_5,Gare de Lyon,Maintenance
282,2020-05-09 18-04-01,EQ_2,Composant_5,Montparnasse,Maintenance
283,2020-06-02 06-57-39,EQ_4,Composant_4,Opéra,Failure
284,2020-09-15 03-14-17,EQ_4,Composant_4,Gare de Lyon,Maintenance
285,2020-10-05 21-33-37,EQ_5,Composant_4,Opéra,Warning
286,2020-09-01 18-13-41,EQ_1,Composant_2,Opéra,Failure
287,2020-01-29 06-31-37,EQ_5,Composant_2,Opéra,Warning
288,2020-02-03 04-25-27,EQ_4,Composant_1,Opéra,Failure
289,2020-08-12 23-29-13,EQ_4,Composant_5,Gare de Lyon,Failure
290,2020-02-18 11-58-44,EQ_1,Composant_3,Montparnasse,Failure
291,2020-08-04 18-41-29,EQ_5,Composant_4,Gare de Lyon,Failure
292,2020-02-04 07-56-13,EQ_5,Composant_5,Gare de Lyon,Warning
293,2020-11-12 01-34-06,EQ_4,Composant_1,Opéra,Warning
294,2020-12-25 22-43-09,EQ_5,Composant_1,Opéra,Maintenance
295,2020-10-10 14-27-37,EQ_4,Composant_5,Saint-Lazare,Warning
296,2020-08-22 13-56-57,EQ_5,Composant_2,Saint-Lazare,Maintenance
297,2020-10-18 01-26-59,EQ_2,Composant_5,Saint-Lazare,Failure
298,2020-02-23 08-27-16,EQ_2,Composant_4,Gare de Lyon,Maintenance
299,2020-11-21 05-42-00,EQ_2,Composant_3,Gare de Lyon,Maintenance
300,2020-01-11 22-46-56,EQ_4,Composant_3,Saint-Lazare,Maintenance
301,2020-10-09 10-13-59,EQ_4,Composant_3,Montparnasse,Maintenance
302,2020-01-09 12-40-19,EQ_1,Composant_1,Gare de Lyon,Maintenance
303,2020-04-15 08-20-03,EQ_2,Composant_3,Opéra,Failure
304,2020-07-22 11-50-30,EQ_4,Composant_5,Gare de Lyon,Maintenance
305,2020-04-11 21-02-35,EQ_1,Composant_5,Opéra,Warning
306,2020-08-14 11-45-12,EQ_5,Composant_1,Saint-Lazare,Maintenance
307,2020-06-24 13-19-48,EQ_2,Composant_2,Gare de Lyon,Warning
308,2020-10-26 01-08-34,EQ_4,Composant_3,Gare de Lyon,Warning
309,2020-07-04 00-43-03,EQ_1,Composant_4,Gare de Lyon,Warning
310,2020-07-15 13-15-46,EQ_2,Composant_5,Opéra,Failure
311,2020-01-26 02-15-39,EQ_1,Composant_3,Montparnasse,Failure
312,2020-05-28 10-30-52,EQ_1,Composant_5,Montparnasse,Warning
313,2020-01-14 22-14-57,EQ_1,Composant_1,Opéra,Warning
314,2020-10-11 01-21-53,EQ_1,Composant_4,Saint-Lazare,Warning
315,2020-01-15 05-27-53,EQ_2,Composant_2,Montparnasse,Maintenance
316,2020-11-17 19-59-55,EQ_1,Composant_2,Opéra,Maintenance
317,2020-06-29 14-27-31,EQ_3,Composant_5,Gare de Lyon,Warning
318,2020-06-29 13-27-16,EQ_1,Composant_4,Opéra,Failure
319,2020-02-03 00-33-27,EQ_1,Composant_3,Opéra,Failure
320,2020-07-20 20-21-29,EQ_2,Composant_5,Gare de Lyon,Failure
321,2020-05-31 08-32-30,EQ_4,Composant_1,Gare de Lyon,Warning
322,2020-11-19 00-55-01,EQ_5,Composant_1,Montparnasse,Warning
323,2020-12-04 03-38-59,EQ_4,Composant_5,Montparnasse,Warning
324,2020-01-09 08-44-22,EQ_3,Composant_1,Gare de Lyon,Warning
325,2020-09-14 12-50-20,EQ_1,Composant_1,Opéra,Failure
326,2020-08-02 00-37-22,EQ_4,Composant_4,Opéra,Failure
327,2020-08-26 13-29-33,EQ_1,Composant_5,Saint-Lazare,Failure
328,2020-12-20 23-46-19,EQ_5,Composant_1,Gare de Lyon,Maintenance
329,2020-05-17 20-04-06,EQ_2,Composant_5,Gare de Lyon,Maintenance
330,2020-03-02 21-25-27,EQ_1,Composant_1,Opéra,Maintenance
331,2020-12-30 21-40-16,EQ_2,Composant_2,Opéra,Warning
332,2020-06-19 08-13-04,EQ_2,Composant_5,Opéra,Failure
333,2020-10-02 00-25-07,EQ_5,Composant_3,Opéra,Maintenance
334,2020-08-23 04-05-56,EQ_5,Composant_1,Montparnasse,Failure
335,2020-03-21 13-56-28,EQ_4,Composant_5,Montparnasse,Failure
336,2020-02-28 15-17-46,EQ_1,Composant_3,Saint-Lazare,Warning
337,2020-03-26 22-51-05,EQ_3,Composant_3,Opéra,Failure
338,2020-07-08 02-01-17,EQ_3,Composant_2,Gare de Lyon,Warning
339,2020-03-22 07-27-15,EQ_3,Composant_1,Gare de Lyon,Failure
340,2020-02-13 21-22-51,EQ_4,Composant_1,Montparnasse,Warning
341,2020-05-07 05-40-49,EQ_1,Composant_1,Saint-Lazare,Warning
342,2020-02-01 11-40-48,EQ_5,Composant_1,Montparnasse,Warning
343,2020-06-28 12-59-09,EQ_4,Composant_3,Gare de Lyon,Maintenance
344,2020-02-23 04-08-36,EQ_3,Composant_3,Montparnasse,Failure
345,2020-09-07 21-49-59,EQ_5,Composant_3,Saint-Lazare,Warning
346,2020-08-31 11-28-22,EQ_5,Composant_1,Opéra,Maintenance
347,2020-10-27 19-12-49,EQ_3,Composant_2,Gare de Lyon,Maintenance
348,2020-05-02 05-15-20,EQ_2,Composant_3,Gare de Lyon,Maintenance
349,2020-09-11 09-03-57,EQ_1,Composant_3,Montparnasse,Warning
350,2020-02-15 13-02-11,EQ_5,Composant_3,Gare de Lyon,Maintenance
351,2020-05-25 23-34-39,EQ_4,Composant_1,Montparnasse,Failure
352,2020-05-16 17-15-45,EQ_3,Composant_4,Opéra,Maintenance
353,2020-06-15 09-42-14,EQ_2,Composant_1,Opéra,Warning
354,2020-09-09 04-09-34,EQ_1,Composant_3,Gare de Lyon,Failure
355,2020-04-01 10-07-56,EQ_1,Composant_1,Saint-Lazare,Maintenance
